start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
104.160.197.228,104.160.197.231,104.160.0.0,Owen Sound,Ontario,CA,44.56717,-80.94349,N4K,America/Toronto
1.220.227.128,1.220.227.255,1.220.0.0,Cheongju-si,North Chungcheong,KR,36.6189,127.5132,28764,Asia/Seoul
101.128.227.228,101.128.227.231,101.128.0.0,Fukushima,Fukushima,JP,37.75,140.46667,960-8031,Asia/Tokyo
1.123.26.42,1.123.26.119,1.123.0.0,Brisbane,Queensland,AU,-27.6155,153.00879,4110,Australia/Brisbane
1.1.20.13,1.1.63.255,1.1.0.0,Shenzhen,Guangdong,CN,22.54554,114.0683,,Asia/Shanghai
1.145.248.186,1.145.248.187,1.145.0.0,Gold Coast,Queensland,AU,-27.9565,153.4007,4215,Australia/Brisbane
1.146.16.184,1.146.16.185,1.146.0.0,Melbourne,Victoria,AU,-37.814,144.96332,3000,Australia/Melbourne
106.133.59.0,106.133.59.255,106.133.0.0,Osaka,Ōsaka,JP,34.69374,135.50218,543-0062,Asia/Tokyo
107.133.208.32,107.133.208.32,107.133.0.0,Paris,Kentucky,US,38.2098,-84.25299,40361,America/New_York
101.137.68.238,101.137.68.243,101.137.0.0,Taipei,Taiwan,TW,25.04776,121.53185,,Asia/Taipei
107.241.79.224,107.241.79.231,107.241.0.0,Seattle,Washington,US,47.60621,-122.33207,98101,America/Los_Angeles
101.35.95.248,101.35.96.15,101.35.0.0,Shenzhen,Guangdong,CN,22.54554,114.0683,,Asia/Shanghai
103.176.246.0,103.176.246.1,103.176.0.0,Karachi,Sindh,PK,24.8608,67.0104,74000,Asia/Karachi
1.120.215.20,1.120.215.23,1.120.0.0,Launceston,Tasmania,AU,-41.43876,147.13467,7250,Australia/Hobart
109.146.175.42,109.146.175.43,109.146.0.0,Berkhamsted,England,GB,51.7604,-0.56528,HP4,Europe/London
103.147.134.1,103.147.134.1,103.147.0.0,Suwari Timur,East Java,ID,-5.81545,112.59835,,Asia/Jakarta
104.54.49.105,104.54.49.107,104.54.0.0,Liberal,Kansas,US,37.04308,-100.921,67901,America/Chicago
103.155.162.62,103.155.162.63,103.155.0.0,Vinh,Nghệ An,VN,18.67337,105.69232,43199,Asia/Bangkok
